fixture,repeat_id,arm,evaluation_valid,execution_status,augmentation_status,lineage_status,goal_reached,new_sequences,new_states,new_coverage,continuation_new_states,continuation_new_coverage,accepted_seeds,charged_wall_seconds,first_goal_stage,first_goal_seconds,first_goal_time_basis,first_native_goal_stage,first_native_goal_seconds,right_censored,censor_seconds,candidate_opportunities,accepted_seed_count,used_seed_count,seed_parent_selections,different_seed_children,executed_seed_children,seed_child_new_states,seed_child_new_coverage,accepted_seed_rate,used_seed_rate,common_seconds,prefix_seconds,augmentation_seconds,solver_seconds,concrete_replay_seconds,augmentation_other_seconds,native_restart_setup_seconds,native_startup_replay_seconds,native_continuation_seconds,record_path
range_gate,4,symbolic_augment,True,completed,completed,verified,True,401,18,8,17,0,1,6.808145458984654,auxiliary_concrete_validation,2.517248458985705,augmentation_stage_completion_upper_bound,native_import,2.810947749987224,False,,1,1,1,192,192,192,7,0,1.0,1.0,1.0570435839763377,0.0007237090030685067,1.4594626250036526,0.8420211249904241,0.14628437501960434,0.47115712499362417,0.2821727909999998,0.011200958,3.273607042,blocks/range_gate/repeat-4/arms/symbolic_augment/campaign.json
range_gate,5,concrete_augment,True,completed,completed,verified,True,443,22,8,19,0,4,6.898348333023023,auxiliary_concrete_validation,2.127585625014035,augmentation_stage_completion_upper_bound,native_import,2.43149829102388,False,,80,4,4,313,313,313,11,0,0.05,1.0,1.1324566660041455,0.0011557920079212636,0.9939516249869484,0,0,0.9939516249869484,0.2920590839999999,0.024768041,3.64892775,blocks/range_gate/repeat-5/arms/concrete_augment/campaign.json
range_gate,5,native_resume,True,completed,not_applicable,verified,True,574,18,8,18,8,0,6.928901498991763,native_continuation,2.896426123983848,native_sequence_completion,native_continuation,2.896426123983848,False,,0,0,0,0,0,0,0,0,,,1.1324566660041455,0.0009290000016335398,0.0,0,0,0.0,0.27773716699999973,0.005389791,4.664389084000001,blocks/range_gate/repeat-5/arms/native_resume/campaign.json
range_gate,5,symbolic_augment,True,completed,completed,verified,True,282,15,8,14,0,1,6.557104415987851,auxiliary_concrete_validation,3.4874009159975685,augmentation_stage_completion_upper_bound,native_import,3.7742916240055187,False,,2,1,1,130,130,130,5,0,0.5,1.0,1.1324566660041455,0.0009313749906141311,2.353998334001517,1.6725184170063585,0.13500229199416935,0.5464776250009891,0.2762882910000002,0.010272667,2.3042515,blocks/range_gate/repeat-5/arms/symbolic_augment/campaign.json
workflow_gate,1,concrete_augment,True,completed,no_eligible_prefix,verified,True,357,3,11,3,11,0,6.700897208007518,native_continuation,4.180839249004009,native_sequence_completion,native_continuation,4.180839249004009,False,,0,0,0,0,0,0,0,0,,,1.128643958014436,0.0001655830128584057,0.0,0,0,0.0,0.30441637499999974,0.00706275,4.6671365,blocks/workflow_gate/repeat-1/arms/concrete_augment/campaign.json
workflow_gate,1,native_resume,True,completed,not_applicable,verified,True,347,2,11,2,11,0,6.660755250020884,native_continuation,2.1662079170258783,native_sequence_completion,native_continuation,2.1662079170258783,False,,0,0,0,0,0,0,0,0,,,1.128643958014436,0.00015029101632535458,0.0,0,0,0.0,0.28471854200000024,0.0071595,4.6683548329999995,blocks/workflow_gate/repeat-1/arms/native_resume/campaign.json
workflow_gate,1,symbolic_augment,True,completed,no_eligible_prefix,verified,False,358,1,10,1,10,0,6.676472207996994,right_censored,,budget_deadline,right_censored,,True,8.0,0,0,0,0,0,0,0,0,,,1.128643958014436,0.00013624998973682523,0.0,0,0,0.0,0.3048566260000003,0.006756125,4.668386958,blocks/workflow_gate/repeat-1/arms/symbolic_augment/campaign.json
workflow_gate,2,concrete_augment,True,completed,completed,verified,True,178,8,24,6,16,3,6.482259458018234,auxiliary_concrete_validation,2.862795791006647,augmentation_stage_completion_upper_bound,native_import,3.170952707030152,False,,80,3,3,99,99,99,4,14,0.0375,1.0,1.2201048330171034,0.0009959590097423643,1.6416796249977779,0,0,1.6416796249977779,0.2860444990000004,0.051813958,2.890807459,blocks/workflow_gate/repeat-2/arms/concrete_augment/campaign.json
workflow_gate,2,native_resume,True,completed,not_applicable,verified,True,352,1,8,1,8,0,6.620981208019657,native_continuation,4.177945167027768,native_sequence_completion,native_continuation,4.177945167027768,False,,0,0,0,0,0,0,0,0,,,1.2201048330171034,0.0009024589962791651,0.0,0,0,0.0,0.2772262510000001,0.005904125,4.576070916,blocks/workflow_gate/repeat-2/arms/native_resume/campaign.json
workflow_gate,2,symbolic_augment,True,completed,no_candidate,verified,False,200,0,7,0,7,0,6.393948541022837,right_censored,,budget_deadline,right_censored,,True,8.0,3,0,0,0,0,0,0,0,0.0,,1.2201048330171034,0.0009274169860873371,2.0218474169960245,1.952686000004178,0.0,0.06916141699184664,0.291129416,0.006805792,2.5533993749999997,blocks/workflow_gate/repeat-2/arms/symbolic_augment/campaign.json
workflow_gate,3,concrete_augment,True,completed,no_eligible_prefix,verified,True,338,1,21,1,21,0,6.585781708010472,native_continuation,3.3493620820249212,native_sequence_completion,native_continuation,3.3493620820249212,False,,0,0,0,0,0,0,0,0,,,1.3111122910049744,0.0001684999733697623,0.0,0,0,0.0,0.29821754100000053,0.005924333,4.486320291999999,blocks/workflow_gate/repeat-3/arms/concrete_augment/campaign.json
workflow_gate,3,native_resume,True,completed,not_applicable,verified,True,345,1,23,1,23,0,6.599981207982637,native_continuation,1.6797500410077655,native_sequence_completion,native_continuation,1.6797500410077655,False,,0,0,0,0,0,0,0,0,,,1.3111122910049744,0.0001486249966546893,0.0,0,0,0.0,0.28219720800000037,0.006270709,4.485423625,blocks/workflow_gate/repeat-3/arms/native_resume/campaign.json
workflow_gate,3,symbolic_augment,True,completed,no_eligible_prefix,verified,True,355,1,23,1,23,0,6.606475248991046,native_continuation,4.969080916008694,native_sequence_completion,native_continuation,4.969080916008694,False,,0,0,0,0,0,0,0,0,,,1.3111122910049744,0.00013279198901727796,0.0,0,0,0.0,0.29393274999999974,0.007175667,4.484486833,blocks/workflow_gate/repeat-3/arms/symbolic_augment/campaign.json
workflow_gate,4,concrete_augment,True,completed,completed,verified,True,166,6,22,4,21,4,6.447839958971599,auxiliary_concrete_validation,2.8925780419667717,augmentation_stage_completion_upper_bound,native_import,3.205764708973934,False,,80,4,4,119,119,119,4,21,0.05,1.0,1.1293131249840371,0.000992082990705967,1.7622597079898696,0,0,1.7622597079898696,0.29449137599999986,0.061567333,2.849943125,blocks/workflow_gate/repeat-4/arms/concrete_augment/campaign.json
workflow_gate,4,native_resume,True,completed,not_applicable,verified,True,302,3,22,3,22,0,6.633148915978381,native_continuation,2.063002291979704,native_sequence_completion,native_continuation,2.063002291979704,False,,0,0,0,0,0,0,0,0,,,1.1293131249840371,0.0008985000022221357,0.0,0,0,0.0,0.2901908749999995,0.0090925,4.663006792,blocks/workflow_gate/repeat-4/arms/native_resume/campaign.json
workflow_gate,4,symbolic_augment,True,completed,no_candidate,verified,True,171,3,22,3,22,0,6.376402708992828,native_continuation,4.246971708003794,native_sequence_completion,native_continuation,4.246971708003794,False,,2,0,0,0,0,0,0,0,0.0,,1.1293131249840371,0.0009512499964330345,1.9940503340039868,1.9421926670183893,0.0,0.05185766698559746,0.28862462499999975,0.007872625,2.670289083,blocks/workflow_gate/repeat-4/arms/symbolic_augment/campaign.json
workflow_gate,5,concrete_augment,True,completed,completed,verified,True,221,3,20,2,20,2,6.498537958977977,warmup_native,0.8597122499785026,native_sequence_completion,warmup_native,0.8597122499785026,False,,40,2,2,118,118,118,2,13,0.05,1.0,1.1709209169785026,0.0004830000107176602,1.0043207079870626,0,0,1.0043207079870626,0.285290791,0.032818125,3.593284042,blocks/workflow_gate/repeat-5/arms/concrete_augment/campaign.json
workflow_gate,5,native_resume,True,completed,not_applicable,verified,True,321,2,7,2,7,0,6.624653791979654,warmup_native,0.8597122499785026,native_sequence_completion,warmup_native,0.8597122499785026,False,,0,0,0,0,0,0,0,0,,,1.1709209169785026,0.0006374169897753745,0.0,0,0,0.0,0.2992422499999998,0.008774042,4.6210984580000005,blocks/workflow_gate/repeat-5/arms/native_resume/campaign.json
workflow_gate,5,symbolic_augment,True,completed,no_candidate,verified,True,181,0,7,0,7,0,6.398267500975635,warmup_native,0.8597122499785026,native_sequence_completion,warmup_native,0.8597122499785026,False,,2,0,0,0,0,0,0,0,0.0,,1.1709209169785026,0.000521208014106378,2.0494770419900306,1.9885955000354443,0.0,0.06088154195458628,0.28195758300000007,0.008148875,2.572043417,blocks/workflow_gate/repeat-5/arms/symbolic_augment/campaign.json
