slot_id,fixture_id,repeat_id,profile_id,arm,total_budget_seconds,goal_invocation_limit_seconds,goal_reached,warmup_goal_reached,native_import_goal_reached,native_continuation_goal_reached,auxiliary_concrete_goal_confirmed,observation_end_seconds,charged_end_seconds,unused_budget_seconds,completed_sequences,partial_sequences,augmentation_status,accepted_seed_count,miss_or_hit_reason,sequence_new_count,state_new_count,coverage_new_count,event_stream_sha256
phase_counter/repeat-09/b08-symbolic-q075,phase_counter,9,b08-symbolic-q075,symbolic_augment,8.0,0.75,True,False,True,True,True,6.018428582944601,6.258974124968518,1.7410258750314824,473,0,completed,1,native_import_goal_reached,387,6,1,f018861016091b975a7c7f22536191e3bc07b97233bf0e09b09c08584aac6fb5
phase_counter/repeat-09/b32-native,phase_counter,9,b32-native,native_resume,32.0,,False,False,False,False,False,30.007232748995605,31.05919137399178,0.94080862600822,5092,0,not_applicable,0,native_continuation_no_goal,4583,5,0,111979cc51fa49410241b2cc9c3c2e5d30e8cb82ee7319eb6791636e3d5e946f
phase_counter/repeat-09/b32-concrete,phase_counter,9,b32-concrete,concrete_augment,32.0,,False,False,False,False,False,30.006753874983787,31.103023499948904,0.8969765000510961,5053,0,no_candidate,0,no_candidate,4565,5,0,2fe4c3e7ba7fcd22fe6699c8d80bcc6de334041e3543a895a4803b638f3e1c08
phase_counter/repeat-09/b32-symbolic-q075,phase_counter,9,b32-symbolic-q075,symbolic_augment,32.0,0.75,True,False,True,True,True,30.01996987396783,30.981456040986814,1.0185439590131864,4753,0,completed,1,native_import_goal_reached,3659,6,1,fc7f925bc0da71fa8c2a18c7581f208876f9cc1016ef335eb3558917ed154844
phase_counter/repeat-09/b32-symbolic-q050,phase_counter,9,b32-symbolic-q050,symbolic_augment,32.0,0.5,True,False,True,True,True,30.012187416998128,31.01385387504706,0.9861461249529384,4720,0,completed,1,native_import_goal_reached,3611,6,1,c5aeb01deb855523fab5731798af2adaae72633f99b02af5931dea4a47246b69
phase_counter/repeat-09/b32-symbolic-q150,phase_counter,9,b32-symbolic-q150,symbolic_augment,32.0,1.5,True,False,True,True,True,30.017725459024085,31.023389249981847,0.9766107500181533,4614,0,completed,1,native_import_goal_reached,3467,6,1,0764ab9b99fc223d607b3116cdd7952306ff8ebd438dfc497844a41aa6f1c9c3
phase_counter/repeat-10/b08-concrete,phase_counter,10,b08-concrete,concrete_augment,8.0,,False,False,False,False,False,6.014037457972922,6.278184207971208,1.7218157920287922,739,0,no_candidate,0,no_candidate,688,3,0,bd211276ac0a93d6f86648e95ba611affc5f202ea30ab84483582bd294447321
phase_counter/repeat-10/b08-symbolic-q075,phase_counter,10,b08-symbolic-q075,symbolic_augment,8.0,0.75,True,False,True,True,True,6.019288124017673,6.236616374982987,1.7633836250170134,479,0,completed,1,native_import_goal_reached,396,4,1,ab47985718e80a3e14b1893c4cb10b024ffb8a7c37a92de448b80ef451e0215b
phase_counter/repeat-10/b32-native,phase_counter,10,b32-native,native_resume,32.0,,False,False,False,False,False,30.006962458012097,31.09287133300677,0.9071286669932306,5034,0,not_applicable,0,native_continuation_no_goal,4521,3,0,d30993eb6a906a48ac0e836e36cac29e526ce979c6933f552dbb913e2e0cae7b
phase_counter/repeat-10/b32-concrete,phase_counter,10,b32-concrete,concrete_augment,32.0,,False,False,False,False,False,30.018706375002736,31.054657083004713,0.9453429169952869,4888,0,no_candidate,0,no_candidate,4411,3,0,aed934523a83c0b04a686bf5cfcd305510d391d0aec1d9da636b2bb8d7bae954
